,horizon,mse,rmse,mae,mdape,smape,coverage
64,247 days,3.0508787871417815,1.746676497563811,0.8507929077870128,0.022784961426871912,0.03270766681479475,0.782648401826484
65,248 days,3.055779645647045,1.74807884423073,0.8526310002138783,0.02287570897735778,0.032773760823904055,0.7821917808219178
66,249 days,3.055418176106403,1.7479754506589626,0.8530438874219598,0.02287570897735778,0.03278108995762549,0.7821917808219178
67,250 days,3.0520944544397364,1.7470244573101248,0.8516420406425523,0.02287570897735778,0.03272259423026202,0.7840182648401827
68,251 days,3.046634835148467,1.7454612098664544,0.8492682599699807,0.022784961426871912,0.032631773518378995,0.7863013698630137
69,252 days,3.043552018631428,1.7445778912480314,0.8480835432105532,0.022666230015460215,0.03258580570288233,0.7876712328767124
70,253 days,3.044987798254729,1.7449893404415766,0.8489489083337738,0.022784961426871912,0.032617452188131085,0.7872146118721461
71,254 days,3.0546580726999335,1.7477580131986046,0.8517001349955772,0.022784961426871912,0.03272407016387316,0.7853881278538812
72,255 days,3.0600299999272753,1.7492941433410436,0.8534404327496401,0.022784961426871912,0.032792839092827375,0.7849315068493151
73,256 days,3.0598833828140615,1.749252235332018,0.8539118568496078,0.022792957347156483,0.032809026468719346,0.7858447488584475
74,257 days,3.0657776550997866,1.7509362224535154,0.8564897621124287,0.022978480748022296,0.03290259417151088,0.7844748858447489
75,258 days,3.068277470464568,1.7516499280577065,0.8581928874416567,0.022999982977080415,0.03296294821485781,0.7840182648401827
76,259 days,3.0664831942288395,1.7511376856857486,0.857067658338646,0.022998198880382386,0.032923174806121454,0.7849315068493151
77,260 days,3.061280008832819,1.7496513963738087,0.8562499061765886,0.022978480748022296,0.03289505470947872,0.7840182648401827
78,261 days,3.055008283586655,1.7478581989356732,0.8548511481838922,0.02287570897735778,0.03284250571638432,0.7844748858447489
79,262 days,3.055750743247832,1.7480705773074015,0.8548194325590697,0.022978480748022296,0.03284313937577198,0.7853881278538812
80,263 days,3.048308976183955,1.7459407138227676,0.8531088282626476,0.022998198880382386,0.03277846152661491,0.7872146118721461
81,264 days,3.039526128093268,1.7434236800311242,0.8500087387389494,0.02287570897735778,0.03266427109949321,0.7890410958904109
82,265 days,3.0388219876639653,1.7432217264777208,0.8499543507132697,0.022855137145563004,0.03266437454691792,0.7899543378995434
83,266 days,3.04100479534355,1.7438476984368647,0.8511638479331128,0.02287570897735778,0.032708943674051125,0.7890410958904109
84,267 days,3.0411782810034342,1.743897439932588,0.8517026952314716,0.02287570897735778,0.03272967817622775,0.7894977168949772
85,268 days,3.03909012870829,1.7432986344021182,0.8509082330759223,0.022978480748022296,0.0327024149576553,0.7904109589041096
86,269 days,3.035774373082961,1.742347374401259,0.8492198811730652,0.022978480748022296,0.03264267901655763,0.7926940639269406
87,270 days,3.0349947609522587,1.7421236353807552,0.8493556934054909,0.022998198880382386,0.032650189633304884,0.7940639269406393
88,271 days,3.033038680421777,1.7415621379731983,0.8487910060866045,0.022998198880382386,0.03263204161263857,0.7940639269406393
89,272 days,3.0304850657754763,1.7408288444805469,0.8474492056744289,0.022978480748022296,0.032586745891345095,0.7945205479452054
90,273 days,3.0306930034995547,1.7408885672263905,0.8471151520162633,0.02287570897735778,0.032581480363274684,0.7945205479452054
91,274 days,3.0280528667776747,1.7401301292655313,0.8464884861934606,0.022978480748022296,0.03256198045742599,0.7963470319634703
92,275 days,3.024121301825964,1.739000086781471,0.8448402899574655,0.022998198880382386,0.032505317960116326,0.7977168949771689
93,276 days,3.0211793181235174,1.738153997240612,0.8434000203716908,0.02287570897735778,0.03245660234192288,0.7990867579908676
94,277 days,3.0198182219487886,1.737762418154101,0.8429855112742756,0.022978480748022296,0.03244564576390962,0.8
95,278 days,3.024108535175212,1.7389964160903875,0.8457485559629355,0.02303620584510337,0.0325504294003231,0.7986301369863014
96,279 days,3.022088337259412,1.738415467389603,0.8452606494099603,0.023147887296828696,0.03253727068666438,0.7990867579908676
97,280 days,3.0183607160206405,1.7373430047116891,0.8434480761935044,0.023147887296828696,0.03247873650501766,0.8
98,281 days,3.0187122113534324,1.7374441606432802,0.8437986518749155,0.023168333464087473,0.03249748663942698,0.8
99,282 days,3.0221648324184383,1.7384374686535142,0.845160496288674,0.02326487974244484,0.03255124624469065,0.7990867579908676
100,283 days,3.022313369529357,1.7384801895705793,0.845479561486589,0.023270483590013144,0.03256874799888135,0.7995433789954338
